Date,PM2.5 AQI Value,Site Name,Site ID,Source
11/05/2020,76,Long Beach-route 710 Near Road,06-037-4008,AQS
11/06/2020,56,Los Angeles-north Main Street,06-037-1103,AQS
11/07/2020,39,North Hollywood (noho),06-037-4010,AQS
11/08/2020,44,North Hollywood (noho),06-037-4010,AQS
11/09/2020,52,Long Beach-route 710 Near Road,06-037-4008,AQS
11/10/2020,58,Long Beach-route 710 Near Road,06-037-4008,AQS
11/11/2020,66,Long Beach-route 710 Near Road,06-037-4008,AQS
11/12/2020,81,Long Beach-route 710 Near Road,06-037-4008,AQS
11/13/2020,75,Long Beach-route 710 Near Road,06-037-4008,AQS
11/14/2020,78,North Hollywood (noho),06-037-4010,AQS
11/15/2020,83,Long Beach-route 710 Near Road,06-037-4008,AQS
11/16/2020,55,Long Beach (south),06-037-4004,AQS
11/17/2020,63,Long Beach-route 710 Near Road,06-037-4008,AQS
11/18/2020,64,North Hollywood (noho),06-037-4010,AQS
11/19/2020,60,North Hollywood (noho),06-037-4010,AQS
11/20/2020,80,Long Beach-route 710 Near Road,06-037-4008,AQS
11/21/2020,88,Anaheim,06-059-0007,AQS
11/22/2020,88,Long Beach-route 710 Near Road,06-037-4008,AQS
11/23/2020,85,North Hollywood (noho),06-037-4010,AQS
11/24/2020,74,North Hollywood (noho),06-037-4010,AQS
11/25/2020,77,Long Beach-route 710 Near Road,06-037-4008,AQS
11/26/2020,70,Long Beach (south),06-037-4004,AQS
11/27/2020,77,Long Beach-route 710 Near Road,06-037-4008,AQS
11/28/2020,56,North Hollywood (noho),06-037-4010,AQS
11/29/2020,66,Long Beach (south),06-037-4004,AQS
11/30/2020,71,Long Beach-route 710 Near Road,06-037-4008,AQS
12/01/2020,81,Long Beach-route 710 Near Road,06-037-4008,AQS
12/02/2020,93,Long Beach-route 710 Near Road,06-037-4008,AQS
12/03/2020,109,Long Beach (south),06-037-4004,AQS
12/04/2020,77,Long Beach-route 710 Near Road,06-037-4008,AirNow
12/05/2020,105,Long Beach-route 710 Near Road,06-037-4008,AQS
12/06/2020,109,Long Beach-route 710 Near Road,06-037-4008,AQS
12/07/2020,93,Long Beach-route 710 Near Road,06-037-4008,AQS
12/08/2020,58,Long Beach-route 710 Near Road,06-037-4008,AQS
12/09/2020,64,Long Beach (south),06-037-4004,AQS
12/10/2020,67,Long Beach-route 710 Near Road,06-037-4008,AQS
12/11/2020,74,Long Beach-route 710 Near Road,06-037-4008,AQS
12/12/2020,77,Long Beach-route 710 Near Road,06-037-4008,AQS
