date, pm25, pm10, o3, no2, so2, co
2015/12/20, 107, 23, 17, 33, 5, 4
2015/12/21, 65, 35, 21, 31, 4, 5
2015/12/22, 81, 52, 11, 40, 4, 6
2015/12/23, 122, 49, 9, 41, 7, 6
2015/12/24, 109, 28, 15, 36, 5, 9
2015/12/25, 75, 54, 18, 34, 6, 9
2015/12/26, 106, 63, 9, 31, 5, 9
2015/12/27, 143, 34, 12, 31, 4, 8
2015/12/28, 77, 44, 32, 35, 4, 6
2015/12/29, 95, 53, 23, 36, 4, 7
2015/12/30, 130, , , , , 
2016/1/3, 84, 20, 17, 30, 3, 6
2015/7/1, 55, 29, 29, 34, 6, 4
2015/7/2, 59, 31, 26, 33, 6, 4
2015/7/3, 61, 28, 25, 37, 8, 5
2015/7/4, 61, 29, 25, 31, 7, 4
2015/7/5, 64, 45, 71, 69, 11, 7
2015/7/6, 98, 34, 51, 60, 7, 6
2015/7/7, 77, 37, 64, 64, 5, 6
2015/7/8, 84, 38, 31, 54, 7, 6
2015/7/9, 82, 23, 21, 27, 4, 4
2015/7/10, 56, 53, 113, 68, 16, 7
2015/7/11, 116, 59, 111, 69, 12, 7
2015/7/12, 143, 37, 36, 55, 8, 7
2015/7/13, 82, 24, 25, 43, 7, 5
2015/7/14, 60, 23, 26, 43, 5, 6
2015/7/15, 60, 27, 26, 50, 6, 6
2015/7/16, 64, 26, 28, 56, 7, 6
2015/7/17, 61, 27, 22, 36, 7, 5
2015/7/18, 65, 31, 34, 26, 4, 4
2015/7/19, 77, 17, 17, 33, 3, 5
2015/7/20, 45, 17, 32, 30, 3, 4
2015/7/21, 35, 21, 16, 38, 4, 6
2015/7/22, 46, 26, 12, 31, 3, 5
2015/7/23, 53, 28, 16, 26, 3, 4
2015/7/24, 54, 27, 17, 30, 4, 4
2015/7/25, 55, 25, 17, 29, 3, 4
2015/7/26, 53, 29, 18, 33, 4, 5
2015/7/27, 60, 21, 16, 32, 5, 4
2015/7/28, 52, 18, 14, 29, 4, 4
2015/7/29, 51, 15, 12, 28, 4, 4
2015/7/30, 47, 17, 13, 33, 5, 4
2015/7/31, 50, 15, 11, 29, 4, 4
2015/8/1, 48, 14, 10, 25, 3, 3
2015/8/2, 40, 20, 10, 35, 7, 4
2015/8/3, 56, 26, 12, 46, 9, 6
2015/8/4, 68, 26, 16, 45, 10, 6
2015/8/5, 67, 29, 15, 44, 12, 6
2015/8/6, 74, 53, 128, 72, 14, 8
2015/8/7, 117, 66, 78, 84, 11, 9
2015/8/8, 148, 55, 66, 47, 10, 6
2015/8/9, 131, 24, 29, 46, 5, 6
2015/8/10, 68, 20, 19, 37, 4, 5
2015/8/11, 60, 23, 17, 32, 11, 5
2015/8/12, 65, 17, 14, 32, 4, 5
2015/8/13, 47, 21, 13, 41, 4, 6
2015/8/14, 58, 24, 9, 40, 8, 6
2015/8/15, 61, 26, 16, 28, 5, 5
2015/8/16, 59, 23, 17, 30, 4, 5
2015/8/17, 57, 22, 16, 24, 7, 5
2015/8/18, 56, 22, 14, 28, 7, 5
2015/8/19, 59, 34, 22, 59, 9, 7
2015/8/20, 84, 58, 74, 76, 11, 9
2015/8/21, 137, 50, 79, 68, 8, 9
2015/8/22, 118, 57, 103, 68, 12, 9
2015/8/23, 137, 64, 106, 89, 14, 10
2015/8/24, 152, 63, 55, 88, 14, 9
2015/8/25, 143, 44, 37, 51, 4, 7
2015/8/26, 110, 26, 27, 44, 6, 7
2015/8/27, 72, 23, 20, 46, 7, 6
2015/8/28, 62, 23, 12, 42, 11, 7
2015/8/29, 63, 20, 5, 35, 8, 6
2015/8/30, 57, 23, 11, 42, 9, 7
2015/8/31, 65, 19, 12, 35, 4, 6
2015/9/1, 55, 16, 7, 33, 3, 6
2015/9/2, 51, 19, 7, 21, 4, 5
2015/9/3, 54, 20, 10, 30, 5, 6
2015/9/4, 53, 23, 17, 33, 9, 6
2015/9/5, 64, 20, 22, 26, 5, 6
2015/9/6, 61, 28, 22, 46, 5, 7
2015/9/7, 75, 35, 45, 43, 3, 7
2015/9/8, 81, 30, 41, 37, 3, 5
2015/9/9, 66, 31, 39, 38, 3, 5
2015/9/10, 68, 35, 42, 45, 3, 5
2015/9/11, 75, 41, 49, 44, 4, 5
2015/9/12, 92, 44, 64, 28, 4, 5
2015/9/13, 101, 43, 47, 36, 4, 6
2015/9/14, 90, 36, 37, 32, 4, 5
2015/9/15, 77, 35, 27, 31, 4, 5
2015/9/16, 78, 31, 32, 35, 4, 6
2015/9/17, 71, 40, 46, 52, 4, 6
2015/9/18, 92, 42, 41, 48, 10, 7
2015/9/19, 99, 36, 42, 32, 6, 6
2015/9/20, 94, 37, 35, 50, 6, 7
2015/9/21, 95, 24, 23, 41, 4, 7
2015/9/22, 69, 20, 16, 34, 5, 6
2015/9/23, 58, 21, 20, 36, 6, 7
2015/9/24, 63, 23, 21, 41, 5, 7
2015/9/25, 64, 36, 41, 53, 7, 8
2015/9/26, 91, 37, 40, 35, 4, 7
2015/9/27, 86, 42, 75, 61, 5, 7
2015/9/28, 105, 58, 90, 79, 10, 9
2015/9/29, 128, 52, 64, 53, 6, 8
2015/9/30, 129, 39, 38, 44, 5, 7
2015/4/1, 73, 25, 15, 33, 4, 5
2015/4/2, 64, 22, 15, 31, 4, 4
2015/4/3, 58, 19, 17, 30, 4, 4
2015/4/4, 55, 27, 23, 31, 5, 3
2015/4/5, 75, 26, 9, 32, 12, 3
2015/4/6, 61, 27, 28, 28, 6, 3
2015/4/7, 68, 29, 16, 43, 6, 7
2015/4/8, 66, 30, 11, 37, 5, 6
2015/4/9, 76, 29, 8, 52, 8, 7
2015/4/10, 69, 14, 8, 40, 7, 6
2015/4/11, 45, 30, 39, 58, 10, 7
2015/4/12, 83, 60, 69, 86, 14, 8
2015/4/13, 128, 52, 44, 69, 11, 5
2015/4/14, 85, 46, 66, 82, 16, 5
2015/4/15, 78, 39, 54, 83, 14, 7
2015/4/16, 78, 33, 38, 60, 9, 6
2015/4/17, 71, 30, 17, 38, 5, 4
2015/4/18, 66, 27, 16, 23, 7, 3
2015/4/19, 64, 35, 18, 40, 8, 4
2015/4/20, 69, 32, 27, 57, 8, 9
2015/4/21, 71, 41, 38, 42, 5, 6
2015/4/22, 88, 43, 56, 50, 5, 4
2015/4/23, 85, 58, 50, 69, 9, 6
2015/4/24, 120, 50, 44, 50, 6, 4
2015/4/25, 103, 44, 46, 33, 6, 2
2015/4/26, 82, 46, 44, 52, 7, 4
2015/4/27, 86, 38, 20, 45, 14, 4
2015/4/28, 78, 34, 15, 43, 12, 5
2015/4/29, 75, 33, 18, 47, 12, 5
2015/4/30, 71, 22, 16, 28, 6, 2
2015/5/1, 58, 18, 12, 25, 6, 2
2015/5/2, 50, 18, 15, 23, 6, 2
2015/5/3, 46, 21, 16, 28, 16, 2
2015/5/4, 54, 24, 19, 32, 12, 3
2015/5/5, 59, 33, 25, 38, 7, 5
2015/5/6, 69, 18, 14, 31, 7, 4
2015/5/7, 50, 18, 10, 31, 7, 5
2015/5/8, 48, 18, 18, 33, 6, 5
2015/5/9, 48, 21, 16, 36, 7, 4
2015/5/10, 55, 24, 17, 38, 4, 5
2015/5/11, 61, 25, 25, 56, 10, 6
2015/5/12, 61, 37, 45, 46, 6, 6
2015/5/13, 75, 20, 16, 34, 7, 4
2015/5/14, 54, 21, 17, 30, 10, 4
2015/5/15, 55, 28, 14, 46, 13, 6
2015/5/16, 64, 18, 25, 41, 11, 5
2015/5/17, 49, 19, 17, 28, 9, 3
2015/5/18, 49, 23, 17, 27, 6, 4
2015/5/19, 55, 27, 15, 32, 7, 5
2015/5/20, 60, 21, 33, 43, 6, 5
